family,n,contam_med,contam_hi,redund,dup95,nan_med,ic_absmed,ic_strong,best_ic
f01_crypto_beta_momentum,150,0.2823231863101664,0.0,0.3537490362130033,0.005190156599552573,0.08386799473509593,0.03601972627461297,0.12,0.2300612965204431
f02_halving_cycle_phase,150,0.57761066392284,0.0,0.3160867021428584,0.006890380313199105,0.28186344344941977,0.04388604573727034,0.15333333333333332,0.25061175729125645
f03_parabolic_blowoff_top,150,0.16786752324053922,0.0,0.3960598140969672,0.006532438478747204,0.030763805929030823,0.03439202982168264,0.02,0.14568077003082464
f04_crypto_winter_drawdown,150,0.35094026400375605,0.0,0.27550919154725684,0.005100671140939597,0.09229141778709246,0.03835439069655544,0.09333333333333334,0.29460414386685435
f05_reflexive_volatility_regime,150,0.1884653809966959,0.0,0.31068158635438,0.004116331096196868,0.04614570889354623,0.02681499243147549,0.16666666666666666,0.2159293223938533
f06_volatility_squeeze_breakout,150,0.16990264956668266,0.0,0.2525232102281582,0.005548098434004474,0.04541323732380741,0.033293771894189195,0.14,0.20015061814092638
f07_overnight_gap_dynamics,150,0.2257468470766224,0.0,0.19498914103472245,0.004295302013422818,0.030763805929030823,0.05363535953285583,0.28,0.21433207427621212
f08_capitulation_volume_spike,150,0.13429099037752862,0.0,0.3009054268743783,0.004563758389261745,0.0411561087518006,0.042839885254185806,0.23333333333333334,0.277756369652991
f09_range_expansion_atr,150,0.2788037959585449,0.0,0.25211172061350234,0.005995525727069352,0.030011570108321353,0.044310893771980234,0.21333333333333335,0.2588222272634711
f10_relative_strength_leadership,150,0.33785081060512534,0.0,0.5087762755999949,0.011096196868008949,0.09155894621735364,0.030086132361443946,0.02666666666666667,0.1272624352211107
f11_trend_persistence,150,0.2708234447590214,0.0,0.2475183733999187,0.005548098434004474,0.04687818046328507,0.02180693777140135,0.07333333333333333,0.16646141432788358
f12_oversold_reversion_oscillator,150,0.19895104450692952,0.0,0.545108162018918,0.016196868008948546,0.020438100420545918,0.04004161409070662,0.08,0.12006113530208296
f13_liquidity_dollar_volume,150,0.27313712153696745,0.0,0.26458042478992067,0.006800894854586129,0.06316343350103584,0.08327186004284814,0.5066666666666667,0.2895629471110694
f14_short_squeeze_thrust,150,0.13031977328108157,0.0,0.35355897942565606,0.00348993288590604,0.02427652730261428,0.024381562941688396,0.013333333333333334,0.09472883049407481
f15_accumulation_distribution_flow,150,0.2204094005710963,0.0,0.26550194700029534,0.0025950782997762865,0.08833584868309596,0.0499538077273977,0.22666666666666666,0.24995210253320355
f16_bitcoin_treasury_premium,150,0.30956941048328235,0.0,0.263557290901237,0.0044742729306487695,0.1250266050495502,0.04181719117599707,0.19333333333333333,0.19368579588999563
f17_share_dilution_machine,150,0.26619210562130713,0.0,0.1964489115976017,0.0023266219239373603,0.17805034571609513,0.03832157475702904,0.14,0.1964965767847585
f18_cash_burn_runway,150,0.2897032438440652,0.0,0.1367340775576446,0.002505592841163311,0.1446696455812046,0.057497602219018146,0.31333333333333335,0.189064413697608
f19_mining_capex_intensity,150,0.3178753140730476,0.0,0.2219864921022858,0.003131991051454139,0.22497775799001934,0.07938882820330265,0.5,0.3139404955323176
f20_operating_leverage_to_crypto,150,0.20914322451981224,0.0,0.16290158025264337,0.003847874720357942,0.19442608769035274,0.05151065245959663,0.30666666666666664,0.18932679844646463
f21_gross_margin_volatility,150,0.25668362226128344,0.0,0.22089373222326977,0.005906040268456376,0.19366589839790205,0.1186066492921386,0.6266666666666667,0.26892942947930165
f22_balance_sheet_leverage,150,0.27807441655888576,0.0,0.20491540834450098,0.0019686800894854585,0.09155894621735364,0.04287317152775605,0.24,0.24518337662098605
f23_revenue_hypergrowth,150,0.2429918624784342,0.0,0.21786842857528257,0.001610738255033557,0.24936568412361262,0.05400366057534412,0.25,0.23951585610961035
f24_cash_earnings_divergence,150,0.2773915703852057,0.0,0.16850481635292477,0.0030425055928411633,0.1765975958641353,0.0674289017319708,0.36666666666666664,0.2208827613660027
f25_dilution_adjusted_growth,150,0.2615708112238425,0.0,0.1629964970536429,0.0007158836689038032,0.25803080731962624,0.04556629142112639,0.21333333333333335,0.26054250598267287
f26_ev_valuation_regime,150,0.21687079630040612,0.0,0.16125399938254803,0.0018791946308724832,0.21956315837630677,0.06735299521272209,0.38666666666666666,0.2529223464707336
f27_speculative_multiple_decay,150,0.25265932135766,0.0,0.22113991107559197,0.0009843400447427293,0.1716712329519107,0.04335664739646504,0.16,0.1816019385409613
f28_institutional_accumulation,150,0.26361940784106763,0.0,0.2800794634019042,0.0022371364653243847,0.14675267407371562,0.03576211781219184,0.17333333333333334,0.3249728278332397
f29_ownership_concentration,150,0.32238020746344753,0.0,0.18821196728951206,0.009038031319910515,0.16730547649157126,0.08508503896798837,0.4697986577181208,0.31655968082408564
f30_smart_money_positioning,150,0.25342437867628353,0.0,0.22145011461787512,0.003131991051454139,0.13192390507858712,0.040481690969251596,0.20666666666666667,0.27911670298263375
