family,suffix,feature,n,ic21,ic63
f01_brand_equity_pricing,base_001_075,f01bep_f01_brand_equity_pricing_mu_abs_252d_base_v042_signal,70452,-0.030909634040163367,-0.07175252522735313
f01_brand_equity_pricing,base_001_075,f01bep_f01_brand_equity_pricing_mu_mean_63d_base_v020_signal,70424,-0.008248420481286892,-0.029934046452660006
f01_brand_equity_pricing,base_076_150,f01bep_f01_brand_equity_pricing_psxcclose_7d_base_v126_signal,6708,0.030244229451766875,0.00649753576074438
f01_brand_equity_pricing,base_076_150,f01bep_f01_brand_equity_pricing_gppuxuplift_189d_base_v082_signal,70533,-0.004220325371576965,-0.007864247150433417
f01_brand_equity_pricing,2nd_derivatives_001_150,f01bep_f01_brand_equity_pricing_gppumean_b10_s42_pct_slope_v019_signal,70411,-0.030439613039466212,-0.009813200997714534
f01_brand_equity_pricing,2nd_derivatives_001_150,f01bep_f01_brand_equity_pricing_muplift_b10_s21_dn_slope_v138_signal,9345,0.032459699726411745,0.012062945870390729
f01_brand_equity_pricing,3rd_derivatives_001_150,f01bep_f01_brand_equity_pricing_gppumean_b63_j5_jerk_v025_signal,70444,-0.012684593150134238,-0.010760779368089642
f01_brand_equity_pricing,3rd_derivatives_001_150,f01bep_f01_brand_equity_pricing_muplift_b126_j42_jerk_v094_signal,68308,-0.004545992978536918,0.02216993799456931
f02_brand_premium_durability,base_001_075,f02bpd_f02_brand_premium_durability_consistnetm_10d_base_v075_signal,9907,0.022950756739052256,0.01306653595902857
f02_brand_premium_durability,base_001_075,f02bpd_f02_brand_premium_durability_marginfloor_504d_base_v008_signal,70533,-0.029426401132809657,-0.05071721866217061
f02_brand_premium_durability,base_076_150,f02bpd_f02_brand_premium_durability_floorgap_189d_base_v140_signal,70808,-0.013950745294384743,-0.034418470427604334
f02_brand_premium_durability,base_076_150,f02bpd_f02_brand_premium_durability_floorxconsist_84d_base_v103_signal,69291,-0.008885040415523121,-0.020390873695494374
