family,suffix,feature,n,ic21,ic63
f01_bank_asset_growth,base_001_075,f01bag_f01_bank_asset_growth_agxlb_21d_base_v042_signal,10785,0.013849053574717654,0.028084027495548804
f01_bank_asset_growth,base_001_075,f01bag_f01_bank_asset_growth_ag_z_10d_base_v020_signal,73978,-0.01936427769657218,-0.006824391702464947
f01_bank_asset_growth,base_076_150,f01bag_f01_bank_asset_growth_lb_lvl_378d_base_v126_signal,10172,-9.495199338883169e-05,0.01237385757643685
f01_bank_asset_growth,base_076_150,f01bag_f01_bank_asset_growth_lb_grow_126d_base_v082_signal,10608,-0.022629464803674112,-0.044040538722747095
f01_bank_asset_growth,2nd_derivatives_001_150,f01bag_f01_bank_asset_growth_agxclose_21d_slope_v019_signal,24821,-0.005249751496876109,0.004840966673763573
f01_bank_asset_growth,2nd_derivatives_001_150,f01bag_f01_bank_asset_growth_lbxclose_126d_slope_v138_signal,10599,-0.12275398324614842,-0.16443152444978493
f01_bank_asset_growth,3rd_derivatives_001_150,f01bag_f01_bank_asset_growth_lbxclose_21d_jerk_v025_signal,10766,-0.0006779788108654495,-0.004945729636787567
f01_bank_asset_growth,3rd_derivatives_001_150,f01bag_f01_bank_asset_growth_agxclose_63d_jerk_v094_signal,63257,-0.011056081199906398,-0.010391362406978058
f02_deposit_franchise_growth,base_001_075,f02dfg_f02_deposit_franchise_growth_dg_sq_63d_base_v075_signal,45876,0.022844154709389067,0.0031981151731093256
f02_deposit_franchise_growth,base_001_075,f02dfg_f02_deposit_franchise_growth_di_z_5d_base_v008_signal,32780,0.021668756753898545,-0.019329988927679512
f02_deposit_franchise_growth,base_076_150,f02dfg_f02_deposit_franchise_growth_dg_z_504d_base_v140_signal,44635,0.03224081473822922,0.021298839799523052
f02_deposit_franchise_growth,base_076_150,f02dfg_f02_deposit_franchise_growth_dgxfs_189d_base_v103_signal,44097,-0.011934230590662342,-0.02503802126296866
f02_deposit_franchise_growth,2nd_derivatives_001_150,f02dfg_f02_deposit_franchise_growth_dixclose_0d_slope_v010_signal,45876,-0.05756703254612732,-0.07322022742663917
