family,suffix,feature,n,ic21,ic63
f01_industrial_cycle_phase,base_001_075,f01icp_f01_industrial_cycle_phase_pbrxagr_10d_base_v042_signal,76946,-0.004366454435976398,-5.422784585243648e-05
f01_industrial_cycle_phase,base_001_075,f01icp_f01_industrial_cycle_phase_agr_42d_base_v020_signal,76946,-0.0171394640641665,-0.0232645670114769
f01_industrial_cycle_phase,base_076_150,f01icp_f01_industrial_cycle_phase_cesxgm_21d_base_v126_signal,76946,-0.02019113774661537,-0.0456707688538334
f01_industrial_cycle_phase,base_076_150,f01icp_f01_industrial_cycle_phase_pbrmean_63d_base_v082_signal,76946,-0.03217232940986254,-0.06364666490266045
f01_industrial_cycle_phase,2nd_derivatives_001_150,f01icp_f01_industrial_cycle_phase_agr_21d_slope_v019_signal,25618,-0.003625640742714989,-0.01625115751964731
f01_industrial_cycle_phase,2nd_derivatives_001_150,f01icp_f01_industrial_cycle_phase_cesema_21d_slope_v138_signal,76946,-0.05519606135673724,-0.052794061762301336
f01_industrial_cycle_phase,3rd_derivatives_001_150,f01icp_f01_industrial_cycle_phase_cesxpbr_5d_jerk_v025_signal,59972,0.008676286085620457,-0.016673351094501097
f01_industrial_cycle_phase,3rd_derivatives_001_150,f01icp_f01_industrial_cycle_phase_pbrstd_63d_jerk_v094_signal,76481,0.00583277011632442,-0.01610840074836089
f02_capex_to_depreciation_cycle,base_001_075,f02cdc_f02_capex_to_depreciation_cycle_ratioxintens_126d_base_v075_signal,76946,-0.028508090347075517,-0.055702170106010016
f02_capex_to_depreciation_cycle,base_001_075,f02cdc_f02_capex_to_depreciation_cycle_ratio_252d_base_v008_signal,76946,0.026219623506286198,0.03884023652699917
f02_capex_to_depreciation_cycle,base_076_150,f02cdc_f02_capex_to_depreciation_cycle_intensebitda_21d_base_v140_signal,76946,0.022725398554642895,0.031770697173894566
f02_capex_to_depreciation_cycle,base_076_150,f02cdc_f02_capex_to_depreciation_cycle_netinvxret_21d_base_v103_signal,76946,0.05032917698008435,0.049316001695207015
f02_capex_to_depreciation_cycle,2nd_derivatives_001_150,f02cdc_f02_capex_to_depreciation_cycle_intens_10d_slope_v010_signal,76946,0.05228749066882973,0.04646811504839254
f02_capex_to_depreciation_cycle,2nd_derivatives_001_150,f02cdc_f02_capex_to_depreciation_cycle_netinv_189d_slope_v023_signal,76946,-0.03144264811185155,-0.04792359857461188
f02_capex_to_depreciation_cycle,3rd_derivatives_001_150,f02cdc_f02_capex_to_depreciation_cycle_netinvxvol_21d_jerk_v112_signal,76938,0.0022901286506365466,-0.00039037271920165314
