folder,status,features_count,ticker_coverage
f01_revenue_stability,FAIL,75,0/5
f02_gross_margin_momentum,FAIL,75,0/5
f03_ebitda_growth_acceleration,FAIL,75,0/5
f04_net_income_volatility,FAIL,75,0/5
f05_operating_cash_flow_efficiency,FAIL,75,0/5
f06_free_cash_flow_yield_regime,FAIL,75,0/5
f07_working_capital_turnover,FAIL,75,0/5
f08_inventory_velocity,FAIL,75,0/5
f09_asset_growth_efficiency,FAIL,75,0/5
f100_working_capital_turnover_stability,PASS,75,4/5
f101_revenue_surprise_momentum,PASS,75,4/5
f102_ebitda_to_revenue_volatility,PASS,75,5/5
f103_net_income_to_assets_momentum,PASS,75,4/5
f104_free_cash_flow_yield_regime,PASS,75,4/5
f105_enterprise_value_to_ebitda_acceleration,PASS,75,5/5
f106_market_cap_to_revenue_cycles,PASS,75,5/5
f107_debt_to_equity_dispersion,PASS,75,4/5
f108_revenue_growth_relative_to_assets,PASS,75,5/5
f109_operating_cash_flow_efficiency_momentum,PASS,75,5/5
f10_debt_to_equity_cycles,FAIL,75,0/5
f110_working_capital_to_revenue_regime,PASS,75,5/5
f111_dividend_coverage_volatility,PASS,75,5/5
f112_retained_earnings_turnover_velocity,PASS,75,5/5
f113_capex_to_assets_intensity_cycles,PASS,75,5/5
f114_gross_profit_momentum_acceleration,PASS,75,4/5
f115_ebit_to_interest_expense_resilience,PASS,75,3/5
f116_current_ratio_trend_momentum,PASS,75,4/5
f117_total_liabilities_to_total_assets_velocity,PASS,75,4/5
f118_revenue_per_share_growth_regime,PASS,75,4/5
f119_fcf_per_share_volatility_expansion,PASS,75,4/5
f11_return_on_assets_momentum,FAIL,75,0/5
f120_enterprise_value_to_revenue_dispersion,PASS,75,4/5
f121_market_cap_to_ebitda_cycles,PASS,75,4/5
f122_price_to_earnings_relative_strength,FAIL,75,0/5
f123_price_to_book_value_momentum,FAIL,75,0/5
f124_price_to_sales_regime_shifts,FAIL,75,0/5
f125_ebitda_to_capex_efficiency_acceleration,PASS,75,4/5
f126_inventory_turnover_volatility_regime,PASS,75,4/5
f127_asset_turnover_velocity_acceleration,PASS,75,4/5
f128_debt_servicing_capacity_momentum,PASS,75,4/5
f129_fcf_conversion_quality_dispersion,PASS,75,4/5
f12_return_on_equity_stability,FAIL,75,0/5
f130_market_cap_dominance_momentum,PASS,75,4/5
f131_valuation_regime_cycles,PASS,75,4/5
f132_dividend_sustainability_regime,PASS,75,4/5
f133_debt_maturity_structure_velocity,PASS,75,4/5
f134_fcf_yield_dynamics_acceleration,PASS,75,4/5
f135_market_share_momentum_resilience,PASS,75,4/5
f136_cyclical_regime_proxies_volatility,FAIL,75,0/5
f137_working_capital_velocity_regime,PASS,75,4/5
f138_retained_earnings_growth_acceleration,PASS,75,5/5
f139_operating_cash_flow_stability_cycles,PASS,75,5/5
f13_dividend_sustainability_regime,FAIL,75,0/5
f140_liabilities_to_equity_momentum_velocity,PASS,75,5/5
f141_revenue_per_share_acceleration_regime,PASS,75,5/5
f142_ebitda_margin_volatility_dispersion,PASS,75,5/5
f143_asset_growth_efficiency_cycles,PASS,75,5/5
f144_debt_to_assets_momentum_acceleration,PASS,75,5/5
f145_fcf_per_share_acceleration_velocity,PASS,75,5/5
f146_institutional_flow_concentration_regime,FAIL,75,0/5
f147_rd_to_revenue_momentum_acceleration,PASS,75,5/5
f148_gross_profit_per_employee_proxy_cycles,PASS,75,5/5
f149_asset_growth_to_debt_ratio_velocity,PASS,75,5/5
f14_market_cap_to_revenue_cycles,FAIL,75,0/5
f150_working_capital_turnover_stability_regime,PASS,75,5/5
f151_ebitda_to_assets_growth_velocity,PASS,75,5/5
f152_revenue_dispersion_regime,FAIL,75,0/5
f153_cash_to_debt_ratio_momentum,FAIL,75,0/5
f154_capex_to_revenue_acceleration,PASS,75,5/5
f155_net_income_per_share_volatility,FAIL,75,0/5
f156_gross_profit_to_fcf_quality,FAIL,75,0/5
f157_operating_income_to_liabilities_cycles,FAIL,75,0/5
f158_working_capital_to_assets_momentum,PASS,75,5/5
f159_revenue_per_employee_proxy_acceleration,PASS,75,4/5
f15_enterprise_value_to_ebitda_acceleration,FAIL,75,0/5
f160_equity_to_assets_solvency_regime,PASS,75,4/5
f161_ebitda_to_revenue_trend_momentum,PASS,75,4/5
f162_net_income_to_ebitda_conversion_velocity,FAIL,75,0/5
f163_asset_turnover_to_debt_ratio_dispersion,PASS,75,4/5
f164_fcf_to_capex_resilience_regime,FAIL,75,0/5
f165_revenue_per_share_growth_acceleration,PASS,75,4/5
f166_gross_profit_per_share_momentum,FAIL,75,0/5
f167_operating_income_growth_volatility,PASS,75,4/5
f168_working_capital_efficiency_cycles,FAIL,75,0/5
f169_net_income_to_revenue_margin_acceleration,FAIL,75,0/5
f16_price_to_book_momentum,FAIL,75,0/5
f170_asset_turnover_productivity_regime,FAIL,75,0/5
f171_operating_cash_flow_to_capex_momentum,FAIL,75,0/5
f172_ebitda_per_share_stability_regime,FAIL,75,0/5
f173_retained_earnings_to_revenue_velocity,FAIL,75,0/5
f174_working_capital_to_assets_acceleration,FAIL,75,0/5
f175_net_income_to_liabilities_solvency_cycles,FAIL,75,0/5
f176_revenue_to_working_capital_velocity,FAIL,75,0/5
f177_gross_profit_stability_regime,FAIL,75,0/5
