family,suffix,feature,n,ic21,ic63
f01_regulated_rate_base_growth,base_001_075,f01rrb_f01_regulated_rate_base_growth_ratebase_5d_base_v042_signal,83360,-0.054968558505757756,-0.1086470846827131
f01_regulated_rate_base_growth,base_001_075,f01rrb_f01_regulated_rate_base_growth_assetgrowthmean_126d_base_v020_signal,83359,-0.04217367786172533,-0.07665685032377717
f01_regulated_rate_base_growth,base_076_150,f01rrb_f01_regulated_rate_base_growth_assetgrowthgap_252d_base_v126_signal,83359,-0.006119584785425376,-0.004558749952813727
f01_regulated_rate_base_growth,base_076_150,f01rrb_f01_regulated_rate_base_growth_assetgrowthabs_252d_base_v082_signal,83359,-0.048951235624849654,-0.09514436700013876
f01_regulated_rate_base_growth,2nd_derivatives_001_150,f01rrb_f01_regulated_rate_base_growth_quality_252d_slope_v019_signal,83359,-0.001320501178774639,-0.011784604066944152
f01_regulated_rate_base_growth,2nd_derivatives_001_150,f01rrb_f01_regulated_rate_base_growth_ratebase_63d_slope_v138_signal,83359,-0.10410311564618467,-0.06686506406140386
f01_regulated_rate_base_growth,3rd_derivatives_001_150,f01rrb_f01_regulated_rate_base_growth_assetz_63d_jerk_v025_signal,83359,0.02429140812634223,-0.0038283314865436534
f01_regulated_rate_base_growth,3rd_derivatives_001_150,f01rrb_f01_regulated_rate_base_growth_assetgrowthsum_63d_jerk_v094_signal,83359,0.012780830986494431,0.03468126815724789
f02_allowed_roe_proxy,base_001_075,f02arp_f02_allowed_roe_proxy_proxyxabsret_63d_base_v075_signal,83359,-0.041809284047140745,-0.08292777034219498
f02_allowed_roe_proxy,base_001_075,f02arp_f02_allowed_roe_proxy_roedyn_126d_base_v008_signal,83359,-0.014171381668896359,-0.00926650830119137
f02_allowed_roe_proxy,base_076_150,f02arp_f02_allowed_roe_proxy_proxyzxvol_63d_base_v140_signal,83359,-0.010759683459970493,-0.012056786813595073
f02_allowed_roe_proxy,base_076_150,f02arp_f02_allowed_roe_proxy_dynxsize_252d_base_v103_signal,83359,-0.011894767127660596,-0.012992217766459311
f02_allowed_roe_proxy,2nd_derivatives_001_150,f02arp_f02_allowed_roe_proxy_proxy_126d_slope_v010_signal,83359,-0.038972406521031046,-0.021529338974029304
f02_allowed_roe_proxy,2nd_derivatives_001_150,f02arp_f02_allowed_roe_proxy_dyn_252d_slope_v023_signal,83301,-0.0015521446428323018,-0.007102656447344705
f02_allowed_roe_proxy,3rd_derivatives_001_150,f02arp_f02_allowed_roe_proxy_proxyxinvprice_63d_jerk_v112_signal,83359,-0.057878485865664145,-0.03808980474402088
f02_allowed_roe_proxy,3rd_derivatives_001_150,f02arp_f02_allowed_roe_proxy_proxyaccel_63d_jerk_v108_signal,82735,0.01021770685021087,0.004697377687366409
f03_utility_capex_intensity,base_001_075,f03uci_f03_utility_capex_intensity_capexassets_252d_base_v009_signal,83267,0.050687390733652554,0.09904763933685821
f03_utility_capex_intensity,base_001_075,f03uci_f03_utility_capex_intensity_assetschg_63d_base_v031_signal,83331,-0.004880074410991552,-0.010035214522950931
f03_utility_capex_intensity,base_076_150,f03uci_f03_utility_capex_intensity_intenssign_63d_base_v087_signal,83267,-0.016940844442212874,-0.049183292343952065
f03_utility_capex_intensity,base_076_150,f03uci_f03_utility_capex_intensity_comboxatr_63d_base_v146_signal,83359,-0.016387877633848993,-0.06219422608823112
f03_utility_capex_intensity,2nd_derivatives_001_150,f03uci_f03_utility_capex_intensity_intensspread_252d_slope_v109_signal,83115,-0.03721766678071813,0.01871121243612898
f03_utility_capex_intensity,2nd_derivatives_001_150,f03uci_f03_utility_capex_intensity_assets_63d_slope_v016_signal,83299,-0.0699469872110249,-0.018800686212828283
f03_utility_capex_intensity,3rd_derivatives_001_150,f03uci_f03_utility_capex_intensity_capexsumxclose_63d_jerk_v145_signal,83330,0.010806099278511014,0.06598072308328232
f03_utility_capex_intensity,3rd_derivatives_001_150,f03uci_f03_utility_capex_intensity_assetsxvol_252d_jerk_v032_signal,83143,0.014986965947873009,-0.01468161644153853
f04_utility_dividend_growth,base_001_075,f04udg_f04_utility_dividend_growth_coveragerank_252d_base_v029_signal,81407,-0.06027857239031235,-0.12069375013034139
f04_utility_dividend_growth,base_001_075,f04udg_f04_utility_dividend_growth_dpsgrowthsum_252d_base_v075_signal,82140,-0.035374204258122925,-0.0512535189959399
f04_utility_dividend_growth,base_076_150,f04udg_f04_utility_dividend_growth_compoundcross_63_252_base_v083_signal,82385,0.03625908196564124,0.0723202011148852
f04_utility_dividend_growth,base_076_150,f04udg_f04_utility_dividend_growth_compoundrank_63d_base_v149_signal,82263,-0.04025726534710898,-0.07829167924815593
f04_utility_dividend_growth,2nd_derivatives_001_150,f04udg_f04_utility_dividend_growth_coveragexpayout_252d_slope_v150_signal,81592,-0.04303740486454814,0.008750030434005625
f04_utility_dividend_growth,2nd_derivatives_001_150,f04udg_f04_utility_dividend_growth_compoundxret_252d_slope_v102_signal,82238,0.002041669383784789,-0.0006679331517252385
f04_utility_dividend_growth,3rd_derivatives_001_150,f04udg_f04_utility_dividend_growth_compound_63d_jerk_v013_signal,82241,0.002146655287210025,-0.05684495112714085
f04_utility_dividend_growth,3rd_derivatives_001_150,f04udg_f04_utility_dividend_growth_coveragez_63d_jerk_v057_signal,81462,-0.017424822337648593,-0.007371519500240083
f05_utility_revenue_stability,base_001_075,f05urs_f05_utility_revenue_stability_revsmooth_21d_base_v006_signal,83359,-0.030582775800886832,-0.034234477770480165
f05_utility_revenue_stability,base_001_075,f05urs_f05_utility_revenue_stability_stabsq_252d_base_v072_signal,83267,-0.026730679185187723,-0.059307737418248525
f05_utility_revenue_stability,base_076_150,f05urs_f05_utility_revenue_stability_relsmooth_252d_base_v093_signal,83266,0.006937890903773162,0.015669040109795536
f05_utility_revenue_stability,base_076_150,f05urs_f05_utility_revenue_stability_cvcross_63_504_base_v113_signal,83331,0.060520907149097226,0.11683263652260827
f05_utility_revenue_stability,2nd_derivatives_001_150,f05urs_f05_utility_revenue_stability_stabxabsret_252d_slope_v108_signal,83179,-0.009060846794698353,-0.0031641754403068244
f05_utility_revenue_stability,2nd_derivatives_001_150,f05urs_f05_utility_revenue_stability_smoothxatr_63d_slope_v037_signal,83359,0.007909206207151681,0.02592192809697386
f05_utility_revenue_stability,3rd_derivatives_001_150,f05urs_f05_utility_revenue_stability_smooth_42d_jerk_v139_signal,83341,0.010926986880459965,0.005506586375397589
f05_utility_revenue_stability,3rd_derivatives_001_150,f05urs_f05_utility_revenue_stability_smoothxvol_63d_jerk_v031_signal,83359,-0.025402146737408496,-0.0007050605858608493
f06_utility_credit_quality,base_001_075,f06ucq_f06_utility_credit_quality_debtebitda_ebitdagr_252d_base_v074_signal,83114,-0.03550327942209041,-0.057826078925978776
f06_utility_credit_quality,base_001_075,f06ucq_f06_utility_credit_quality_debtebitda_63d_z_base_v040_signal,80791,0.004669205425415679,0.011061143653039163
f06_utility_credit_quality,base_076_150,f06ucq_f06_utility_credit_quality_solv_fcfgr_63d_base_v147_signal,83265,0.0040974871424430395,0.008186728958209044
f06_utility_credit_quality,base_076_150,f06ucq_f06_utility_credit_quality_debtebitda_252d_tanhde_base_v099_signal,83267,-0.03996734222651299,-0.08289665158165958
f06_utility_credit_quality,2nd_derivatives_001_150,f06ucq_f06_utility_credit_quality_debtebitda_63d_slope_pct_w63_s2_slope_v027_signal,83299,0.00463464064766829,-0.0051287602561911685
f06_utility_credit_quality,2nd_derivatives_001_150,f06ucq_f06_utility_credit_quality_solv_21d_slope_pct_w21_s1_slope_v149_signal,83359,0.0027259163960440887,0.013825869446969145
f06_utility_credit_quality,3rd_derivatives_001_150,f06ucq_f06_utility_credit_quality_solv_63d_jerk_w42_s2_jerk_v147_signal,83278,-0.028086130277830707,-0.008194899078537073
f06_utility_credit_quality,3rd_derivatives_001_150,f06ucq_f06_utility_credit_quality_debtebitda_252d_jerk_w21_s0_jerk_v049_signal,83225,-0.001449498669624686,-0.004048605858582512
f07_utility_efficiency,base_001_075,f07uef_f07_utility_efficiency_efftrend_range_63d_base_v048_signal,83780,-0.01724664982207672,-0.024696243119889077
f07_utility_efficiency,base_001_075,f07uef_f07_utility_efficiency_opexint_z_63d_base_v013_signal,74222,0.005245638445604303,0.0230932090799304
f07_utility_efficiency,base_076_150,f07uef_f07_utility_efficiency_effsc_tanhsig_5d_base_v146_signal,83581,0.033868731904446815,0.06294220607461101
f07_utility_efficiency,base_076_150,f07uef_f07_utility_efficiency_opexint_rank_126d_base_v084_signal,83359,-0.019743783224051216,-0.03892447920014996
f07_utility_efficiency,2nd_derivatives_001_150,f07uef_f07_utility_efficiency_effsc_21d_slope_pct_w5_s0_slope_v145_signal,76084,-0.016651402030445052,0.004908225981308365
f07_utility_efficiency,2nd_derivatives_001_150,f07uef_f07_utility_efficiency_opexint_21d_slope_diff_norm_w63_s0_slope_v016_signal,76089,0.021650636050652167,0.050914288290824804
f07_utility_efficiency,3rd_derivatives_001_150,f07uef_f07_utility_efficiency_opexint_252d_jerk_w63_s1_jerk_v053_signal,76181,0.018406427100398668,0.07354013845521602
f07_utility_efficiency,3rd_derivatives_001_150,f07uef_f07_utility_efficiency_effsc_21d_jerk_w63_s1_jerk_v128_signal,75864,0.006936400624513152,0.0013589665849817127
f08_utility_payout_durability,base_001_075,f08upd_f08_utility_payout_durability_psus_ema_126d_base_v069_signal,83359,0.045323816287408884,0.08421534575473476
f08_utility_payout_durability,base_001_075,f08upd_f08_utility_payout_durability_psus_mean_252d_base_v055_signal,82597,0.03679513912574638,0.06965794194419672
f08_utility_payout_durability,base_076_150,f08upd_f08_utility_payout_durability_pdur_logc_5d_base_v116_signal,83155,-0.0308981989324273,-0.051921635638525386
f08_utility_payout_durability,base_076_150,f08upd_f08_utility_payout_durability_psus_rank_252d_base_v135_signal,82596,0.0024575916233108117,-0.0004582001846543687
f08_utility_payout_durability,2nd_derivatives_001_150,f08upd_f08_utility_payout_durability_psus_21d_slope_pct_w21_s2_slope_v150_signal,82929,0.011275719157097986,0.02709328056038119
f08_utility_payout_durability,2nd_derivatives_001_150,f08upd_f08_utility_payout_durability_pdur_126d_slope_pct_w63_s2_slope_v117_signal,82020,0.0033365065017391424,0.021740516935658746
f08_utility_payout_durability,3rd_derivatives_001_150,f08upd_f08_utility_payout_durability_pdur_126d_jerk_w5_s2_jerk_v093_signal,82177,0.01972033194778982,0.023958401087967034
f08_utility_payout_durability,3rd_derivatives_001_150,f08upd_f08_utility_payout_durability_pdur_63d_jerk_w5_s1_jerk_v077_signal,82109,0.027720276106687574,0.046337688998807684
f09_utility_rate_case_signature,base_001_075,f09urc_f09_utility_rate_case_signature_mrec_std_21d_base_v032_signal,83780,-0.01544611338149498,-0.034969178829243795
f09_utility_rate_case_signature,base_001_075,f09urc_f09_utility_rate_case_signature_mfloor_range_126d_base_v024_signal,83689,-0.02383435192456161,-0.03865991592983115
f09_utility_rate_case_signature,base_076_150,f09urc_f09_utility_rate_case_signature_mrec_rank_21d_base_v107_signal,83359,-0.03935861773673031,-0.09283169742609068
f09_utility_rate_case_signature,base_076_150,f09urc_f09_utility_rate_case_signature_mfloor_diff_5d_base_v086_signal,83359,-0.002197751120776424,-0.007842726074603169
f09_utility_rate_case_signature,2nd_derivatives_001_150,f09urc_f09_utility_rate_case_signature_mdur_21d_slope_pct_w21_s0_slope_v148_signal,83359,-0.013954209747921352,-0.005355747520335091
f09_utility_rate_case_signature,2nd_derivatives_001_150,f09urc_f09_utility_rate_case_signature_mrec_21d_slope_pct_w21_s1_slope_v077_signal,13683,-0.023159810915822955,0.08173554184015852
f09_utility_rate_case_signature,3rd_derivatives_001_150,f09urc_f09_utility_rate_case_signature_mdur_21d_jerk_w126_s2_jerk_v135_signal,83064,-0.0069486402857544495,-0.013039271238672446
f09_utility_rate_case_signature,3rd_derivatives_001_150,f09urc_f09_utility_rate_case_signature_mdur_21d_jerk_w63_s0_jerk_v127_signal,83257,-0.025137111577873635,-0.016629376504714615
f10_utility_regulated_growth,base_001_075,f10urg_f10_utility_regulated_growth_compq_ema_126d_base_v044_signal,83301,-0.047808744668935206,-0.10454150826119851
f10_utility_regulated_growth,base_001_075,f10urg_f10_utility_regulated_growth_revcomp_std_63d_base_v058_signal,83299,-0.03337849149622231,-0.08895566401612959
f10_utility_regulated_growth,base_076_150,f10urg_f10_utility_regulated_growth_compq_diff_21d_base_v112_signal,31258,-0.0058093674803221685,0.009159101342696188
f10_utility_regulated_growth,base_076_150,f10urg_f10_utility_regulated_growth_longg_rank_252d_base_v085_signal,82930,-0.03094091598603929,-0.08049687852435888
f10_utility_regulated_growth,2nd_derivatives_001_150,f10urg_f10_utility_regulated_growth_longg_63d_slope_diff_norm_w21_s0_slope_v031_signal,77760,0.01487754856355137,0.039409048726488136
f10_utility_regulated_growth,2nd_derivatives_001_150,f10urg_f10_utility_regulated_growth_compq_252d_slope_pct_w21_s2_slope_v132_signal,82888,0.01236418348863623,-0.010576669610574364
f10_utility_regulated_growth,3rd_derivatives_001_150,f10urg_f10_utility_regulated_growth_compq_252d_jerk_w5_s2_jerk_v108_signal,82910,-0.015037305800110031,-0.018204125274238953
f10_utility_regulated_growth,3rd_derivatives_001_150,f10urg_f10_utility_regulated_growth_longg_126d_jerk_w126_s0_jerk_v043_signal,82921,0.02064612745087698,0.06513128276887063
f16_clean_energy_growth,base_001_075,f16ceg_f16_clean_energy_growth_p1_mean63_xclose_5d_base_v011_signal,83359,-0.010531613489311094,-0.05639538484826515
f16_clean_energy_growth,base_001_075,f16ceg_f16_clean_energy_growth_p1_std63_xclz_5d_base_v022_signal,83359,-0.09549343270516394,-0.05894381498317235
f16_clean_energy_growth,base_076_150,f16ceg_f16_clean_energy_growth_p1_z252_xmean63_21d_base_v133_signal,83322,0.0400771144781601,0.054278769705803954
f16_clean_energy_growth,base_076_150,f16ceg_f16_clean_energy_growth_p1_std126_xclz_21d_base_v127_signal,83359,-0.08528297745878888,-0.059229330612833773
f16_clean_energy_growth,2nd_derivatives_001_150,f16ceg_f16_clean_energy_growth_p1_mean63_xstd63_10d_d21_slope_v141_signal,81313,0.03776925910444155,0.05826321921464854
f16_clean_energy_growth,2nd_derivatives_001_150,f16ceg_f16_clean_energy_growth_p1_std63_xstd63_5d_d126_slope_v072_signal,80538,-0.04231529555659593,-0.04085884588632376
f16_clean_energy_growth,3rd_derivatives_001_150,f16ceg_f16_clean_energy_growth_p1_mean21_xstd63_5d_d126_jerk_v036_signal,21070,-0.013273744094221693,-0.013634807347418043
f16_clean_energy_growth,3rd_derivatives_001_150,f16ceg_f16_clean_energy_growth_p1_mean21_xclose_10d_d21_jerk_v111_signal,13686,-0.0015408281688343616,-0.002446119120927708
f17_clean_energy_burn_rate,base_076_150,f17cbr_f17_clean_energy_burn_rate_p1_std63_xclose_21d_base_v121_signal,4775,0.08668901681302454,0.07032914402796876
f18_clean_energy_dilution,base_001_075,f18ced_f18_clean_energy_dilution_p1_std63_xmean63_5d_base_v023_signal,83780,-0.02073753080844025,-0.05590467564208936
f18_clean_energy_dilution,base_001_075,f18ced_f18_clean_energy_dilution_p1_mean126_xstd63_5d_base_v020_signal,83359,-0.0356509259165164,-0.05962168420008347
f18_clean_energy_dilution,base_076_150,f18ced_f18_clean_energy_dilution_p1_raw_xstd63_21d_base_v105_signal,83359,0.0007712034993445614,-0.02844889371298079
f18_clean_energy_dilution,base_076_150,f18ced_f18_clean_energy_dilution_p1_raw_xstd63_21d_base_v105_signal,83359,0.0007712034993445614,-0.02844889371298079
f18_clean_energy_dilution,2nd_derivatives_001_150,f18ced_f18_clean_energy_dilution_p1_raw_xclose_5d_d42_slope_v004_signal,5983,-0.015252726843882838,-0.028410190851403852
f18_clean_energy_dilution,2nd_derivatives_001_150,f18ced_f18_clean_energy_dilution_p1_mean21_xstd63_10d_d63_slope_v125_signal,36939,0.0015222665738983965,-0.006772580453380419
f18_clean_energy_dilution,3rd_derivatives_001_150,f18ced_f18_clean_energy_dilution_p1_mean63_xmean63_5d_d63_jerk_v047_signal,69805,0.013938052766039212,0.016350745662905865
